Tên xe,Giá
Mercedes EQB 250,2.289.000.000
Mercedes EQE 500 SUV,3.999.000.000
Mercedes EQS 500 SUV,4.999.000.000
Mercedes-AMG A 35 4MATIC,1.818.000.000
Mercedes-AMG C43 4Matic,2.599.000.000
Mercedes-AMG G 63,11.750.000.000
Mercedes-AMG GLA 45 S 4MATIC+,3.430.000.000
Mercedes-AMG GLB 35 4MATIC (V1),2.228.888.888
Mercedes-AMG GLE 450 4MATIC Coupe,4.849.000.000
Mercedes-AMG GLE 53 4MATIC+ Coupé,4.699.000.000
Mercedes-AMG GT 53 4MATIC+,5.999.888.888
Mercedes-Benz C 200 Avantgarde,1.599.000.000
Mercedes-Benz C 200 Avantgarde Plus,1.849.000.000
Mercedes-Benz C 300 AMG (CKD),1.888.888.888
Mercedes-Benz E 180 (V1),1.888.888.888
Mercedes-Benz E 200 Exclusive (V1),2.222.888.888
Mercedes-Benz E 300 AMG (V1),2.888.888.888
Mercedes-Benz EQS 450+,5.009.000.000
Mercedes-Benz EQS 580 4MATIC,5.959.000.000
Mercedes-Benz GLB 200 AMG (V1),1.658.888.888
Mercedes-Benz GLC 200 (V1),1.909.000.000
Mercedes-Benz GLC 200 2023,2.299.000.000
Mercedes-Benz GLC 200 4MATIC (V1),2.189.000.000
Mercedes-Benz GLC 300 2023,2.799.000.000
Mercedes-Benz GLC 300 4MATIC (V1),2.639.000.000
Mercedes-Benz GLE 450 4MATIC (V1),3.939.888.888
Mercedes-Benz GLS 450 4MATIC (V1),5.389.000.000
Mercedes-Benz S 450,5.039.000.000
Mercedes-Benz S 450 4MATIC,5.039.000.000
Mercedes-Benz S 450 4MATIC Luxury,5.559.000.000
Mercedes-Benz V250 AMG,3.749.000.000
Mercedes-Benz V250 Luxury,3.099.000.000
Mercedes-GLC 300 4MATIC Coupe (V1),3.129.000.000
Mercedes-Maybach GLS 480 4MATIC,8.799.000.000
Mercedes-Maybach GLS 600 4MATIC,12.119.000.000
Mercedes-Maybach S 450 4MATIC,8.199.000.000
Mercedes-Maybach S 680 4MATIC,15.990.000.000
